Date,Month,Channel 1 Views,Channel 1 Interactions,Channel 2 Views,Channel 2 Interactions,Site Visitors,,,,,,
4/30/14,2014-4,"160,000","4,000","16,800,000","28,000","21,700",,,,,,
5/1/14,2014-5,"170,000","4,000","6,900,000","19,000","18,700",,,,,,
5/2/14,2014-5,"140,000","4,000","8,000,000","21,000","17,600",,,,,,
5/3/14,2014-5,"120,000","3,000","7,000,000","22,000","14,100",,,,,,
5/4/14,2014-5,"140,000","3,000","5,500,000","23,000","14,200",,,,,,
5/5/14,2014-5,"160,000","4,000","5,800,000","21,000","18,400",,,,,,
5/6/14,2014-5,"170,000","5,000","6,500,000","24,000","19,800",,,,,,
5/7/14,2014-5,"160,000","4,000","6,600,000","23,000","19,400",,,,,,
5/8/14,2014-5,"170,000","4,000","6,400,000","23,000","18,500",,,,,,
5/9/14,2014-5,"170,000","4,000","5,900,000","22,000","16,600",,,,,,
5/10/14,2014-5,"130,000","3,000","6,000,000","25,000","14,500",,,,,,
5/11/14,2014-5,"120,000","3,000","5,600,000","22,000","12,700",,,,,,
5/12/14,2014-5,"190,000","5,000","6,300,000","22,000","18,500",,,,,,
5/13/14,2014-5,"200,000","5,000","7,300,000","24,000","19,900",,,,,,
5/14/14,2014-5,"200,000","5,000","7,400,000","25,000","20,600",,,,,,
5/15/14,2014-5,"190,000","4,000","8,100,000","22,000","19,300",,,,,,
5/16/14,2014-5,"160,000","4,000","9,700,000","23,000","18,000",,,,,,
5/17/14,2014-5,"120,000","3,000","9,200,000","21,000","14,100",,,,,,
5/18/14,2014-5,"130,000","3,000","9,600,000","24,000","15,300",,,,,,
5/19/14,2014-5,"200,000","5,000","10,200,000","23,000","18,800",,,,,,
5/20/14,2014-5,"200,000","5,000","10,600,000","23,000","19,100",,,,,,
5/21/14,2014-5,"190,000","5,000","10,600,000","23,000","19,300",,,,,,
5/22/14,2014-5,"190,000","4,000","10,700,000","22,000","18,300",,,,,,
5/23/14,2014-5,"160,000","4,000","10,700,000","26,000","19,000",,,,,,
5/24/14,2014-5,"120,000","3,000","9,500,000","23,000","14,300",,,,,,
5/25/14,2014-5,"130,000","3,000","9,400,000","23,000","14,000",,,,,,
5/26/14,2014-5,"170,000","4,000","9,300,000","24,000","14,700",,,,,,
5/27/14,2014-5,"210,000","5,000","10,300,000","24,000","20,100",,,,,,
5/28/14,2014-5,"210,000","5,000","11,200,000","24,000","20,300",,,,,,
5/29/14,2014-5,"200,000","5,000","10,300,000","22,000","20,000",,,,,,
5/30/14,2014-5,"160,000","4,000","12,700,000","29,000","20,400",,,,,,
5/31/14,2014-5,"130,000","3,000","11,200,000","31,000","16,400",,,,,,
6/1/14,2014-6,"150,000","4,000","4,600,000","17,000","14,600",,,,,,
6/2/14,2014-6,"180,000","5,000","5,400,000","20,000","20,300",,,,,,
6/3/14,2014-6,"180,000","5,000","5,000,000","17,000","18,800",,,,,,
6/4/14,2014-6,"170,000","4,000","6,700,000","23,000","19,100",,,,,,
6/5/14,2014-6,"150,000","3,000","6,500,000","24,000","18,700",,,,,,
6/6/14,2014-6,"140,000","3,000","6,400,000","23,000","17,400",,,,,,
6/7/14,2014-6,"110,000","3,000","6,000,000","20,000","13,900",,,,,,
6/8/14,2014-6,"130,000","3,000","6,400,000","25,000","15,500",,,,,,
6/9/14,2014-6,"160,000","4,000","6,500,000","21,000","17,500",,,,,,
6/10/14,2014-6,"160,000","4,000","7,200,000","26,000","20,200",,,,,,
6/11/14,2014-6,"160,000","4,000","6,500,000","23,000","17,800",,,,,,
6/12/14,2014-6,"160,000","4,000","5,000,000","19,000","16,800",,,,,,
6/13/14,2014-6,"140,000","4,000","4,400,000","17,000","14,400",,,,,,
6/14/14,2014-6,"120,000","4,000","5,000,000","25,000","14,900",,,,,,
6/15/14,2014-6,"120,000","3,000","3,900,000","17,000","11,000",,,,,,
6/16/14,2014-6,"170,000","5,000","5,300,000","22,000","17,700",,,,,,
6/17/14,2014-6,"150,000","4,000","5,400,000","24,000","17,500",,,,,,
6/18/14,2014-6,"150,000","4,000","5,100,000","21,000","16,400",,,,,,
